6,0.5,2.0,3.0,24,2,1.0,1.0,1.0,25,2,0.25,1.0,2.0,25,6,0.5,2.0,3.0,25,5_minor,1_minor,2_minor,5_minor
,0.25,1.0,4.0,7,5,1.0,1.0,1.0,8,5,0.25,1.0,2.0,8,6,0.5,1.0,3.0,8,3_major,1_minor,5_minor,6_major
5,1.0,1.0,1.0,8,5,0.25,1.0,2.0,8,6,0.5,1.0,3.0,8,7,0.25,1.0,4.0,8,1_minor,5_minor,6_major,3_major
2,0.25,1.0,2.0,13,1,0.5,1.0,3.0,13,7,0.25,1.0,4.0,13,6,1.0,1.0,1.0,14,4_major,1_major,4_major,1_major
1,0.5,1.0,3.0,13,7,0.25,1.0,4.0,13,6,1.0,1.0,1.0,14,6,1.0,1.0,1.0,14,1_major,4_major,1_major,4_major
6,0.25,0.5,4.0,4,7,0.125,0.5,4.5,4,1,1.0,1.0,1.0,5,2,0.25,1.0,2.0,5,4_major,2_minor,4_major,1_minor
7,0.125,0.5,4.5,4,1,1.0,1.0,1.0,5,2,0.25,1.0,2.0,5,3,0.5,1.0,3.0,5,2_minor,4_major,1_minor,7_major
3,0.5,1.0,3.0,15,2,0.25,1.0,4.0,15,3,1.0,1.0,1.0,16,2,0.25,1.0,2.0,16,2_minor,1_major,4_major,1_major
2,0.25,1.0,4.0,15,3,1.0,1.0,1.0,16,2,0.25,1.0,2.0,16,1,0.5,1.0,3.0,16,1_major,4_major,1_major,2_minor
5,0.25,1.0,4.0,7,4,1.0,2.0,1.0,8,2,0.5,1.0,3.0,8,3,0.25,1.0,4.0,8,2_minor,1_major,4_major,2_minor
4,1.0,2.0,1.0,8,2,0.5,1.0,3.0,8,3,0.25,1.0,4.0,8,2,1.0,2.0,1.0,9,1_major,4_major,2_minor,1_major
4,1.0,1.0,1.0,8,3,0.25,1.0,2.0,8,2,0.5,1.0,3.0,8,3,0.25,1.0,4.0,8,1_major,6_minor,3_minor,5_major
3,0.25,1.0,2.0,8,2,0.5,1.0,3.0,8,3,0.25,1.0,4.0,8,4,1.0,1.0,1.0,9,6_minor,3_minor,5_major,1_major
3,0.25,1.0,4.0,18,4,1.0,1.0,1.0,19,3,0.25,1.0,2.0,19,5,0.5,0.5,3.0,19,5_major,1_minor,4_minor,2_diminished
4,1.0,1.0,1.0,19,3,0.25,1.0,2.0,19,5,0.5,0.5,3.0,19,4,0.125,0.5,3.5,19,1_minor,4_minor,2_diminished,4_minor
4,0.125,0.5,3.5,7,3,0.25,1.0,4.0,7,4,1.0,1.0,1.0,8,3,0.25,1.0,2.0,8,2_minor,5_major,1_major,2_minor
3,0.25,1.0,4.0,7,4,1.0,1.0,1.0,8,3,0.25,1.0,2.0,8,2,0.5,1.0,3.0,8,5_major,1_major,2_minor,4_major
4,1.0,5.5,1.0,12,5,0.25,0.5,3.5,13,5,1.0,5.5,1.0,14,1,0.25,0.5,3.5,15,1_major,7_diminished,1_major,7_diminished
5,0.25,0.5,3.5,13,5,1.0,5.5,1.0,14,1,0.25,0.5,3.5,15,1,1.0,2.0,1.0,16,7_diminished,1_major,7_diminished,1_major
6,0.25,1.0,4.0,5,5,1.0,2.0,1.0,6,5,0.5,1.0,3.0,6,5,0.25,1.0,4.0,6,3_minor,1_major,7_diminished,3_minor
5,1.0,2.0,1.0,6,5,0.5,1.0,3.0,6,5,0.25,1.0,4.0,6,1,1.0,2.0,1.0,7,1_major,7_diminished,3_minor,1_major
1,1.0,3.0,1.0,1,5,0.5,1.0,3.0,1,5,1.0,3.0,1.0,2,6,0.5,1.0,3.0,2,1_major,5_major,1_major,5_major
5,0.5,1.0,3.0,1,5,1.0,3.0,1.0,2,6,0.5,1.0,3.0,2,5,1.0,2.0,1.0,3,5_major,1_major,5_major,1_major
,0.5,3.0,3.0,19,5,1.0,1.0,1.0,20,5,1.0,3.0,1.0,20,1,1.0,1.0,1.0,21,1_major,2_minor,1_major,2_minor
5,1.0,1.0,1.0,20,5,1.0,3.0,1.0,20,1,1.0,1.0,1.0,21,1,1.0,3.0,1.0,21,2_minor,1_major,2_minor,1_major
2,0.5,1.0,3.0,7,7,1.0,2.0,1.0,8,5,0.5,1.0,3.0,8,5,0.25,3.0,4.0,8,7_diminished,1_major,4_major,1_major
7,1.0,2.0,1.0,8,5,0.5,1.0,3.0,8,5,0.25,3.0,4.0,8,7,0.5,1.0,3.0,9,1_major,4_major,1_major,4_major
1,0.5,1.0,3.0,4,1,0.5,1.0,3.0,4,3,1.0,1.0,1.0,5,4,0.25,1.0,2.0,5,1_major,5_major,1_major,5_major
1,0.5,1.0,3.0,4,3,1.0,1.0,1.0,5,4,0.25,1.0,2.0,5,5,0.5,1.0,3.0,5,5_major,1_major,5_major,1_major
2,0.25,1.0,4.0,13,1,1.0,2.0,1.0,14,6,0.5,1.0,3.0,14,6,0.5,1.0,3.0,14,5_major,1_major,2_minor,5_major
1,1.0,2.0,1.0,14,6,0.5,1.0,3.0,14,6,0.5,1.0,3.0,14,2,1.0,2.0,1.0,15,1_major,2_minor,5_major,1_major
3,0.25,2.0,4.0,1,2,0.25,1.0,2.0,2,1,0.5,1.0,3.0,2,1,0.25,2.0,4.0,2,1_minor,3_major,6_major,1_minor
2,0.25,1.0,2.0,2,1,0.5,1.0,3.0,2,1,0.25,2.0,4.0,2,6,0.25,1.0,2.0,3,3_major,6_major,1_minor,3_major
1,1.0,1.0,1.0,4,7,0.5,1.0,3.0,4,3,0.25,2.0,4.0,4,1,0.25,1.0,2.0,5,2_minor,7_diminished,1_minor,2_minor
